codedesc,violationdesc,ratio
Greek,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.13708929858894
Italian,Canned food product observed dented and not segregated from other consumable food items.,1.13665842611174
American,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,1.13623718893071
Turkish,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.13429726624087
Delicatessen,Food contact surface not properly maintained.,1.13254234422118
Hamburgers,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.13214402633505
Korean,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.12997579155094
American,A food containing artificial trans fat with 0.5 grams or more of trans fat per serving is being stored distributed held for service used in preparation of a menu item or served.,1.12826150834869
Bagels/Pretzels,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.12811893411472
Irish,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.12810823374531
Chinese,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.12535161519872
Other,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.12533118951604
Japanese,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.12488868887628
Mexican,Evidence of rats or live rats present in facility's food and/or non-food areas.,1.1202286021559
Greek,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.11662587443604
Donuts,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.11333490098487
Italian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.11227216083231
Pizza,Accurate thermometer not provided in refrigerated or hot holding equipment.,1.11219348414176
Peruvian,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.11004931886134
Hamburgers,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.10851181898438
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.10769019709579
Café/Coffee/Tea,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.10674834393138
Caribbean,Live roaches present in facility's food and/or non-food areas.,1.10585258202148
Pizza/Italian,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.10579766682045
American,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.1047941395359
Indian,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.10471300290784
Chinese,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.10399194547046
Italian,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,1.10353059674392
Spanish,Thawing procedures improper.,1.10297391183788
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.10288312753789
Indian,Wiping cloths soiled or not stored in sanitizing solution.,1.10097473129351
Steak,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.1004714516628
Asian,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.09945938340932
Chinese,Single service item reused improperly stored dispensed; not used when required.,1.09904153462308
Irish,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.09747368380633
Japanese,Live roaches present in facility's food and/or non-food areas.,1.09741062713768
Russian,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.0957504660145
Asian,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.09554727953371
Chinese,Food contact surface not properly maintained.,1.09553574599567
Hamburgers,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.09412833112678
Irish,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.09295754216366
American,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.09238309959054
Chicken,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.09206677758597
Bagels/Pretzels,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.09174907892554
French,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.09170331905089
Mexican,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.09097870905615
Korean,Proper sanitization not provided for utensil ware washing operation.,1.0892335258746
Pizza,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.0892177850624
Indian,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.08732639322559
Spanish,Live roaches present in facility's food and/or non-food areas.,1.08701914995003
French,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.08656604711211
Mexican,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.08560927898921
Asian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.08544176600953
Japanese,Proper sanitization not provided for utensil ware washing operation.,1.08463106100635
American,Food not cooked to required minimum temperature.,1.08347752789602
Turkish,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.08287700123194
Mediterranean,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.08035726733318
Spanish,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.08013348880222
Jewish/Kosher,Hot food item not held at or above 140º F.,1.0797398321742
Chicken,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.0786185644655
Spanish,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.07858966406041
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Food Protection Certificate not held by supervisor of food operations.,1.07832906806061
Italian,"""""Wash hands sign not posted at hand wash facility.",1.07636578554484
Asian,Proper sanitization not provided for utensil ware washing operation.,1.07579596510941
Chinese/Japanese,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.07447484382308
Jewish/Kosher,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.07366723946034
Mexican,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.07314372026554
American,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.07257480646968
Café/Coffee/Tea,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.07228643010925
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.07139345647684
Irish,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.07083753987447
Bakery,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.06901436339543
Middle Eastern,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.06853356654938
Delicatessen,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.06798641831858
Bakery,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.06772893772894
"Bottled beverages, including water, sodas, juices, etc.",Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.06731950331801
Eastern European,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.06670019975116
Mexican,Proper sanitization not provided for utensil ware washing operation.,1.06578384413846
"Juice, Smoothies, Fruit Salads",Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.06460237021667
American,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.06340494602274
Thai,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.06285122721938
Jewish/Kosher,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.06154532815111
Jewish/Kosher,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.06136501198983
Italian,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.06114956241754
Pizza/Italian,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.0606972709234
American,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,1.06069671833513
Barbecue,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.05969860699859
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.05941265101823
Asian,Food contact surface not properly maintained.,1.05925889307128
Mexican,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.05925378186456
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.05855017973651
Pizza/Italian,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.05839623433413
Mexican,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.05760228177227
Sandwiches,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.0575195852944
Pizza,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.0540597522669
Chinese,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.05400783560561
Chinese,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.05338404437888
Bagels/Pretzels,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.05300315176272
Italian,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.05199082751853
Donuts,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.05181414384889
Vegetarian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.05173803935221
Pizza/Italian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.05164260953472
Pizza,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.05100091107115
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","""""Wash hands sign not posted at hand wash facility.",1.05069034243264
Indian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.05066483727124
Café/Coffee/Tea,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.04797466447453
Bagels/Pretzels,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.04601125455147
Vegetarian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.04504070576967
Mexican,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.04218768800555
Tex-Mex,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.04194484632292
Delicatessen,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.04011854453652
Chicken,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.03926438311856
French,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.0388562675028
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.03846390261588
"Ice Cream, Gelato, Yogurt, Ices",Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.03704934140408
American,Single service item reused improperly stored dispensed; not used when required.,1.03683970615941
Sandwiches,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.03651370057413
Mexican,Thawing procedures improper.,1.03650989252172
American,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.03495104566198
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.03440429257366
Mediterranean,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.03341963024963
Café/Coffee/Tea,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.03316840621186
Pizza,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.02983001478349
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Smoke free workplace smoking policy inadequate not posted not provided to employees.,1.02900327468245
Japanese,Current letter grade card not posted.,1.02849967237033
American,Canned food product observed dented and not segregated from other consumable food items.,1.02777028478992
Mediterranean,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.02774900384964
Jewish/Kosher,Live roaches present in facility's food and/or non-food areas.,1.02526754368454
Japanese,Single service item reused improperly stored dispensed; not used when required.,1.02486443859069
Caribbean,Proper sanitization not provided for utensil ware washing operation.,1.02287482198104
American,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.02231283246669
Japanese,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.02187664844136
Pizza,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.02182718093775
Caribbean,Food contact surface not properly maintained.,1.02140339096861
Chinese/Japanese,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.02051420788743
Bakery,Wiping cloths soiled or not stored in sanitizing solution.,1.02050353041866
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Wiping cloths soiled or not stored in sanitizing solution.,1.01941213951241
Delicatessen,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.01903410884535
American,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.01851438853638
Japanese,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.0179305882764
Spanish,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.01775631295641
Soul Food,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.01726279918626
Indian,Proper sanitization not provided for utensil ware washing operation.,1.01515422458951
Pizza,Other general violation.,1.01493389654078
Asian,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.01489980715723
Tex-Mex,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.01453077373588
Mexican,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.0129351144085
Tex-Mex,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.01139457184432
Seafood,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.01050637873419
Korean,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.01011770364174
American,Accurate thermometer not provided in refrigerated or hot holding equipment.,1.00946692405001
Mediterranean,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.00896709399392
American,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.00837137855104
Thai,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.00780504646964
Indian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.0071499119388
Thai,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.00639990271607
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Evidence of mice or live mice present in facility's food and/or non-food areas.,1.00498771659461
Peruvian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.0045999792927
Vegetarian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.00417874609437
American,Food contact surface not properly maintained.,1.00410689827068
Jewish/Kosher,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.002432592799
American,Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric) latex gloves sign not posted. Inspection report sign not posted.,1.00082728246174
Thai,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.998001087573151
French,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.996193440640026
Mexican,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.99596113028698
Donuts,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.995356963312555
Café/Coffee/Tea,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.993837217539137
Pizza,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.993300305522057
Mexican,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.99169374216828
Korean,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.991016767164525
Asian,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.990848447096937
Pizza/Italian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.989964144465059
Donuts,Food Protection Certificate not held by supervisor of food operations.,0.989877342724371
Japanese,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.98967791751616
Donuts,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.988812533372803
Spanish,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.987802116531978
Greek,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.987505855315584
American,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.986341625835637
Jewish/Kosher,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.985700677210938
American,Other general violation.,0.985687227995738
Mexican,Wiping cloths soiled or not stored in sanitizing solution.,0.985173415293749
Chinese/Japanese,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.983738374114286
Pizza/Italian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.983614416945603
Delicatessen,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.983450278020333
American,Food Protection Certificate not held by supervisor of food operations.,0.983426431943687
Korean,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.981647469061818
Steak,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.981611930754811
Russian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.981589986377977
Spanish,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.980247607005564
Chinese,Nuisance created or allowed to exist. Facility not free from unsafe hazardous offensive or annoying conditions.,0.97975022314944
"Ice Cream, Gelato, Yogurt, Ices",Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.979093663070203
Greek,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.978882042658679
Russian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.977644768290004
Italian,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0.97650331101983
Chinese,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.975394430912179
American,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,0.974770990112635
Mexican,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.974611008223103
Bagels/Pretzels,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.972565399791915
Seafood,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.97121803678232
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.971192905490408
Bakery,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.969019658450553
Mediterranean,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.968340279236105
Seafood,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.968101036499541
Thai,Proper sanitization not provided for utensil ware washing operation.,0.967867086413453
Chicken,Live roaches present in facility's food and/or non-food areas.,0.965606457185828
Chinese,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,0.965510103515782
Bakery,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,0.964303935860058
Jewish/Kosher,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.964202284757235
Pizza,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.962982591357273
Spanish,Proper sanitization not provided for utensil ware washing operation.,0.961794061666668
Mexican,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.960808312186406
Italian,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,0.959950903157508
Indian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.958139738029139
Thai,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.957423187416679
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Thawing procedures improper.,0.956844574556054
Mexican,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,0.956696056417183
Pizza,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,0.956629426586222
Mexican,Food contact surface not properly maintained.,0.955094841842222
Italian,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.954882540224272
Hamburgers,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.954430704541541
Sandwiches,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.954198335236565
Vietnamese/Cambodian/Malaysia,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.954125703333875
Middle Eastern,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.951853238898081
American,Evidence of rats or live rats present in facility's food and/or non-food areas.,0.951639050538187
Chinese,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.950872815488266
Asian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.948535932263428
Jewish/Kosher,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.948234899516449
